Date,ADANIPORTS.NS,TECHM.NS,BRITANNIA.NS,TCS.NS,SUNPHARMA.NS,INFY.NS,HINDALCO.NS,DRREDDY.NS,HCLTECH.NS,HINDUNILVR.NS,TATASTEEL.NS,NTPC.NS,CIPLA.NS,ITC.NS,BPCL.NS,WIPRO.NS,JSWSTEEL.NS,GAIL.NS,DIVISLAB.NS,ULTRACEMCO.NS,NESTLEIND.NS,ASIANPAINT.NS,EICHERMOT.NS,IOC.NS,GRASIM.NS,BAJAJ-AUTO.NS,HDFC.NS,M&M.NS,UPL.NS,SHREECEM.NS,MARUTI.NS,TITAN.NS,BAJAJFINSV.NS,KOTAKBANK.NS,COALINDIA.NS,BHARTIARTL.NS,HEROMOTOCO.NS,LT.NS,ONGC.NS,SBIN.NS,RELIANCE.NS,SBILIFE.NS,HDFCLIFE.NS,BAJFINANCE.NS,AXISBANK.NS,HDFCBANK.NS,TATAMOTORS.NS,ICICIBANK.NS,POWERGRID.NS,INDUSINDBK.NS
02-02-2016,213.25,474.4500122,1396.430054,1199.050049,835.1500244,587.7750244,68.55000305,3048.5,436.3250122,800.0999756,220.5110016,111.7080002,574,216.1670074,283.4330139,212.7189941,100.3300018,101.7279968,1124.5,2802.699951,5457.350098,882.5,1719.709961,99.65000153,532.7890015,2364.100098,1179.800049,603.3250122,277.3330078,10411.5,3874.949951,352,1818.099976,677.1500244,318.9500122,277.473999,2518.300049,747.9329834,144.3670044,169.3999939,500.5750122,,,581.1400146,390.8999939,526.9000244,329.5499878,191.272995,146.25,908.25
03-02-2016,210.1999969,472.2000122,1414.030029,1208.150024,834.9000244,578.8499756,66.65000153,3008.300049,426.0499878,821.5999756,213.4129944,107.2080002,562.0499878,214.6329956,276.5169983,209.1750031,97.33999634,101.2779999,1106.550049,2769.050049,5408.350098,863.7000122,1675.420044,99.08750153,528.5759888,2347.649902,1160.949951,601.5,272.7330017,10167,3828.350098,354.0499878,1878.550049,665.5499878,317.25,275.269989,2484.850098,739.2000122,142.0330048,166.0500031,490.7000122,,,637.9749756,380.5499878,521.9249878,320.2999878,185.5,143.25,905.6500244
04-02-2016,215.6999969,469.4500122,1428.150024,1210.030029,835.5999756,589.875,68.69999695,3008.649902,433.6749878,834.7999878,215.2709961,104.9169998,550.4000244,214.5330048,277.25,209.9810028,101.0699997,99.84380341,1087.300049,2769.550049,5485.299805,889.3499756,1689.439941,97.36250305,531.8519897,2310.649902,1168.349976,602.25,270.1669922,10539.90039,3794.649902,362,1880.800049,676.25,322.5,279.3559875,2513.800049,757.1329956,146.6670074,162.8500061,486.5249939,,,634.3900146,382.75,524.5999756,325.5,185.4089966,146.8000031,913.2000122
05-02-2016,211.1000061,475.1000061,1431.25,1210.969971,857.5499878,587.3499756,71.25,3109.100098,434.8250122,844.9500122,222.7969971,104,570.1500244,215.9669952,281,209.2129974,103.7050018,96.34220123,1110.449951,2842.75,5421.5,899.25,1811.920044,98.63749695,536.5,2366.350098,1182.949951,609.75,274.6669922,10384,3723.399902,369.5499878,1908.599976,692,326.25,282.0639954,2584.75,759.9329834,146.6329956,168.1999969,485.4500122,,,669.835022,399.5499878,527.625,337.1000061,190.3639984,145.25,911.8499756
08-02-2016,212.0500031,470.6499939,1427.380005,1181.469971,835.6500244,575.4000244,69.80000305,3070.350098,424.875,828.9000244,223.0359955,102.7080002,566.8499756,210.1670074,275.0669861,204.375,105.0100021,96.62349701,1068.650024,2821.550049,5413,888.5999756,1838.469971,97.58750153,531.2789917,2355.050049,1164.099976,600.875,269.0329895,10303.2002,3732.550049,371.6000061,1835.599976,673.0999756,323.3500061,285.553009,2568.300049,753.53302,142.6999969,172.1499939,480.5249939,,,666.0150146,408.5499878,517.9249878,323.5,189.5910034,142.4499969,882.9500122
09-02-2016,210.3999939,448.25,1391.550049,1140.699951,854.0499878,553.8250122,70,2959.600098,405.2250061,826.3499756,224.3690033,104.875,555.8499756,208.2669983,274.9670105,201.0939941,100,98.04380035,1033.650024,2766.25,5419.25,884.2000122,1817.579956,97.09999847,526.4219971,2376.600098,1159.900024,591.5999756,260.2000122,10304.7002,3657.100098,366.8500061,1784.199951,677.0499878,309.25,286.7009888,2581.350098,742.7999878,145.4329987,167.0500031,478.75,,,658.4050293,399.8999939,513.0250244,310.6499939,190.3639984,141.9499969,868.3499756
10-02-2016,202.8500061,440.3999939,1361,1134.400024,855.75,554.2750244,66.90000153,2885.050049,413.7000122,824.5499878,224.5599976,103.9580002,538.5999756,206,279.1830139,199.1999969,102.2549973,97.32659912,1017.650024,2797.899902,5297.600098,876.5499878,1790.98999,96.01249695,530.651001,2368.149902,1116.550049,591.1500244,263.5329895,10325.2002,3678.550049,370.3999939,1789.599976,667.3499756,313.75,285.82901,2555.600098,747.0670166,142.3329926,159,481.3250122,,,647.8599854,393.6000061,506.4750061,291.5499878,188.4089966,143.3500061,835.0999756
11-02-2016,186.8500061,431.9500122,1317,1098.969971,830.4000244,539.3250122,63.70000076,2885.350098,404,802.5999756,213.8890076,100.7919998,540.8499756,199.0330048,272.5830078,193.9499969,100.1600037,93.40319824,1019.549988,2717.899902,5217.049805,855.7000122,1761.930054,93.05000305,525.5,2329.899902,1066.650024,563.2999878,258.4670105,10340.5,3541.449951,356.3500061,1696.550049,628.9500122,305.1000061,283.4419861,2496.899902,728.2670288,135.4329987,154.25,462.2749939,,,617.9199829,377.2000122,487.6499939,276.3500061,181.1360016,136.6999969,811.1500244
12-02-2016,178.0500031,430,1282.099976,1113.300049,847.3499756,542.3250122,60.90000153,2847.449951,399.125,812.5999756,207.2200012,103.2919998,528.5999756,200.0670013,257.6000061,193.9880066,100.5500031,91.39219666,987.1500244,2767.75,5056.049805,854.9000244,1799.369995,91.13749695,524.2219849,2304.399902,1083.75,582.625,252.9329987,10491.5,3549.649902,355.8500061,1701.050049,622,302.8500061,297.9949951,2489.25,702.4329834,128.8329926,154.8000031,453.2749939,,,599.6749878,391.1000061,485.7000122,298.3500061,175.9550018,138.3500061,811.9500122
15-02-2016,191.1499939,430.2999878,1332.949951,1134.569946,850.2000122,545.875,67,2859.050049,413.5499878,804.7000122,235.0399933,104,539.7000122,202.4669952,259.9169922,197.1560059,104.1399994,93.97969818,992.75,2802.350098,5057.75,858.7000122,1877.219971,97.15000153,537.9320068,2342.100098,1080.449951,613.4000244,270,10499.09961,3711.25,358.7000122,1723.449951,625.25,324.25,292.8070068,2507.350098,766.2670288,133.5670013,167.8500061,473.375,,,620.9949951,417.6499939,486.7999878,317.25,185,138.6999969,823.7000122
